Datetime,CRUD.L,BRNT.L,DBO,BNO,USO,3175.HK,IAU,GLD,AAAU,SGOL,FTGC,BCD,SLV,hf_CL,hf_OIL,hf_GC,hf_SI
2026-05-13 07:00:00+08:00,,,,,,,,,,,,,,101.94999694824219,107.41000366210938,4727.5,87.54000091552734
2026-05-13 06:30:00+08:00,,,,,,,,,,,,,,101.93000030517578,107.36000061035156,4724.60009765625,87.46499633789062
2026-05-13 06:00:00+08:00,,,,,,,,,,,,,,101.83000183105469,107.22000122070312,4725.2998046875,87.58999633789062
2026-05-13 04:30:00+08:00,,,,,,,,,,,,,,102.05000305175781,107.41999816894531,4722.60009765625,87.20500183105469
2026-05-13 04:00:00+08:00,,,,,,,,,,,,,,102.27999877929688,107.72000122070312,4720.7001953125,87.2249984741211
2026-05-13 03:30:00+08:00,,,22.8700008392334,56.88999938964844,144.35499572753906,,88.70999908447266,432.9800109863281,46.505001068115234,44.90999984741211,30.53700065612793,38.68199920654297,78.55000305175781,102.37999725341797,107.83000183105469,4723.2001953125,87.375
2026-05-13 03:00:00+08:00,,,22.860000610351562,56.849998474121094,144.14999389648438,,88.48999786376953,431.9100036621094,46.39500045776367,44.79499816894531,30.4950008392334,38.650001525878906,78.11499786376953,102.26000213623047,107.73999786376953,4710.7998046875,86.90499877929688
2026-05-13 02:30:00+08:00,,,22.90999984741211,56.9900016784668,144.50999450683594,,88.34500122070312,431.2149963378906,46.31999969482422,44.724998474121094,30.49370002746582,38.650001525878906,77.93990325927734,102.54000091552734,107.9800033569336,4703.0,86.73500061035156
2026-05-13 02:00:00+08:00,,,22.889999389648438,56.95000076293945,144.30999755859375,,88.16000366210938,430.25,46.220001220703125,44.625,30.46500015258789,38.627601623535156,77.27999877929688,102.30000305175781,107.93000030517578,4692.5,86.05000305175781
2026-05-13 01:30:00+08:00,,,22.770000457763672,56.6599006652832,143.58999633789062,,88.0199966430664,429.6000061035156,46.150001525878906,44.560001373291016,30.41990089416504,38.54990005493164,77.00423431396484,101.69000244140625,107.37000274658203,4685.7001953125,85.72000122070312
2026-05-13 01:00:00+08:00,,,22.75,56.560001373291016,143.31500244140625,,88.0199966430664,429.6300048828125,46.154998779296875,44.560001373291016,30.395000457763672,38.53150177001953,76.8499984741211,101.36000061035156,107.16999816894531,4686.60009765625,85.56999969482422
2026-05-13 00:30:00+08:00,,,22.746599197387695,56.66999816894531,143.58999633789062,,87.88500213623047,428.9200134277344,46.084999084472656,44.4900016784668,30.354999542236328,38.45500183105469,76.58999633789062,101.63999938964844,107.38999938964844,4678.10009765625,85.27999877929688
2026-05-13 00:00:00+08:00,,,22.760000228881836,56.810001373291016,143.77999877929688,,87.81500244140625,428.6000061035156,46.04999923706055,44.45500183105469,30.360000610351562,38.470001220703125,76.36000061035156,101.70999908447266,107.66999816894531,4675.5,85.03500366210938
